venue,edition,year,paper_no,speaker,affiliation,region,role,status,note
Symposium,1,2020,,Gabriel Popescu,UIUC,USA,invited,presented,
Symposium,1,2020,,Yang Liu,Univ. of Pittsburgh,USA,invited,presented,now UIUC; SPIE BO506 co-chair
Symposium,1,2020,,Renjie Zhou,CUHK,Hong Kong,organizer,presented,
Symposium,1,2020,,Sumin Lee,Tomocube,Korea,industry,presented,
Symposium,1,2020,,Kyoohyun Kim,Max Planck Institute,Germany,invited,presented,
Symposium,1,2020,,Sangwoo Park,Korea University,Korea,invited,presented,
Symposium,1,2020,,Eri H. Hayakawa,Jichi Medical University,Japan,invited,presented,
Symposium,1,2020,,Min Jae Lee,Seoul National University,Korea,invited,presented,
Symposium,1,2020,,Richard W. Wong,Kanazawa University,Japan,invited,presented,
Symposium,1,2020,,Changi Pack,Asan Medical Center,Korea,clinical,presented,
Symposium,2,2021,,Yibin Kang,Princeton University,USA,invited,presented,
Symposium,2,2021,,Peter So,MIT,USA,invited,presented,
Symposium,2,2021,,Steve Oh,Bioprocessing Technology Institute A*STAR,Singapore,invited,presented,
Symposium,2,2021,,YongKeun Park,KAIST,Korea,organizer,presented,
Symposium,2,2021,,Hye-jin Kim,Tomocube,Korea,industry,presented,short talk
Symposium,2,2021,,Seung Ah Lee,Yonsei University,Korea,organizer,presented,now SNU Mechanical Engineering
Symposium,2,2021,,Doory Kim,Hanyang University,Korea,invited,presented,
Symposium,2,2021,,Yunmin Jung,Institute for Basic Science,Korea,invited,presented,
Symposium,2,2021,,Ishan Barman,Johns Hopkins University,USA,invited,presented,title listed as TBA on the page
Symposium,3,2023,,Qionghai Dai,Tsinghua University,China,keynote,presented,only keynote-tagged talk in the series
Symposium,3,2023,,Dong Soo Hwang,POSTECH,Korea,invited,presented,
Symposium,3,2023,,Yongdae Shin,Seoul National University,Korea,invited,presented,
Symposium,3,2023,,Kevin K. Tsia,University of Hong Kong,Hong Kong,invited,presented,
Symposium,3,2023,,Jinju Han,KAIST,Korea,invited,presented,
Symposium,3,2023,,Ki-Jun Yoon,KAIST,Korea,invited,presented,
Symposium,4,2024,,Liangcai Cao,Tsinghua University,China,invited,presented,
Symposium,4,2024,,Renjie Zhou,CUHK,Hong Kong,organizer,presented,only repeat speaker in the series
Symposium,4,2024,,Tong Ling,Nanyang Technological University,Singapore,invited,presented,
Symposium,4,2024,,Tae Hyun Hwang,Mayo Clinic,USA,clinical,presented,source spells as Taehyun Hwang
